iter	Passed	Remaining
228	4498	15145
229	4509	15097
230	4512	15021
231	4514	14943
232	4516	14867
233	4519	14793
234	4545	14797
235	4547	14721
236	4550	14648
237	4554	14580
238	4556	14507
239	4558	14434
240	4560	14362
241	4820	15099
242	4822	15023
243	4828	14959
244	4830	14885
245	4832	14813
246	4835	14741
247	4838	14671
248	4840	14599
249	4842	14528
250	4845	14458
251	4849	14393
252	4851	14323
253	4853	14254
254	4855	14186
255	5006	14549
256	5008	14479
257	5010	14409
258	5012	14341
259	5014	14273
260	5017	14205
261	5019	14137
262	5021	14071
263	5043	14061
264	5046	13995
265	5048	13930
266	5050	13865
267	5052	13801
268	5055	13737
269	5122	13850
270	5125	13787
271	5133	13739
272	5135	13675
273	5137	13612
274	5140	13551
275	5144	13494
276	5147	13434
277	5159	13398
278	5166	13352
279	5168	13290
280	5175	13241
281	5177	13183
282	5232	13256
283	5234	13197
284	5247	13164
285	5271	13161
286	5274	13102
287	5283	13062
288	5286	13005
289	5288	12947
290	5290	12890
291	5292	12833
292	5297	12783
293	5299	12726
294	5301	12670
295	5403	12850
296	5405	12794
297	5407	12737
298	5416	12699
299	5421	12649
300	5423	12595
301	5425	12540
302	5428	12487
303	5431	12435
304	5433	12381
305	5438	12334
306	5440	12281
307	5444	12231
308	5516	12335
309	5518	12282
310	5520	12229
311	5522	12177
312	5528	12135
313	5531	12083
314	5535	12037
315	5538	11987
316	5542	11942
317	5551	11905
318	5553	11854
319	5557	11809
320	5563	11768
321	5568	11724
322	5572	11679
323	5576	11634
324	5578	11586
325	5580	11538
326	5583	11491
327	5585	11444
328	5588	11398
329	5590	11350
330	5593	11305
331	5608	11284
332	5610	11238
333	5613	11193
334	5652	11220
335	5654	11174
336	5656	11129
337	5659	11083
338	5662	11040
339	5664	10996
340	5668	10954
341	5671	10911
342	5673	10868
343	5687	10845
344	5691	10805
345	5699	10772
346	5732	10786
347	5734	10743
348	5736	10700
349	5743	10667
350	5789	10704
351	5791	10661
352	5794	10621
353	5798	10581
354	5800	10539
355	5803	10498
356	5805	10456
357	5807	10414
358	5811	10376
359	5837	10377
360	5839	10336
361	5843	10298
362	5846	10259
363	5848	10219
364	5851	10179
365	5854	10141
366	5859	10107
367	5862	10067
368	5864	10029
369	5867	9991
370	6173	10467
371	6250	10551
372	6259	10521
373	6273	10500
374	6386	10644
375	6418	10651
376	6420	10609
377	6423	10569
378	6441	10554
379	6446	10518
380	6449	10477
381	6452	10438
382	6454	10397
383	6505	10435
384	6508	10396
385	6511	10358
386	6513	10318
387	6618	10440
388	6621	10400
389	6623	10360
390	6626	10320
391	6630	10284
392	6633	10244
393	6635	10205
394	6637	10165
395	6639	10126
396	6642	10089
397	6647	10054
398	6650	10016
399	6652	9978
400	6714	10030
