iter	Passed	Remaining
881	1738	232
882	1739	230
883	1741	228
884	1743	226
885	1744	224
886	1746	222
887	1747	220
888	1750	218
889	1752	216
890	1753	214
891	1755	212
892	1756	210
893	1758	208
894	1759	206
895	1761	204
896	1762	202
897	1765	200
898	1767	198
899	1768	196
900	1770	194
901	1771	192
902	1773	190
903	1775	188
904	1776	186
905	1778	184
906	1780	182
907	1782	180
908	1784	178
909	1785	176
910	1787	174
911	1789	172
912	1790	170
913	1792	168
914	1795	166
915	1796	164
916	1798	162
917	1800	160
918	1801	158
919	1803	156
920	1805	154
921	1806	152
922	1808	150
923	1810	148
924	1812	146
925	1814	144
926	1815	142
927	1817	140
928	1818	138
929	1820	136
930	1821	135
931	1824	133
932	1826	131
933	1827	129
934	1829	127
935	1830	125
936	1832	123
937	1833	121
938	1835	119
939	1836	117
940	1839	115
941	1841	113
942	1843	111
943	1844	109
944	1846	107
945	1848	105
946	1849	103
947	1850	101
948	1852	99
949	1855	97
950	1856	95
951	1858	93
952	1859	91
953	1861	89
954	1862	87
955	1864	85
956	1866	83
957	1867	81
958	1870	79
959	1872	78
960	1873	76
961	1875	74
962	1876	72
963	1878	70
964	1879	68
965	1881	66
966	1883	64
967	1886	62
968	1888	60
969	1891	58
970	1892	56
971	1894	54
972	1896	52
973	1899	50
974	1900	48
975	1902	46
976	1904	44
977	1905	42
978	1907	40
979	1908	38
980	1910	36
981	1911	35
982	1914	33
983	1916	31
984	1917	29
985	1919	27
986	1920	25
987	1922	23
988	1923	21
989	1925	19
990	1926	17
991	1929	15
992	1931	13
993	1932	11
994	1934	9
995	1935	7
996	1937	5
997	1938	3
998	1940	1
999	1942	0
